Candidate,County,Number of Votes,Ten Percent of Vote,Tweet List
carson,Belknap,390,N,
carson,Carroll,280,N,
carson,Cheshire,517,N,
carson,Coos,174,N,
carson,Grafton,470,N,"[""Tommygreen18: @FoxBusiness @RealBenCarson absolutely correct Ben '\n"", ""Tommygreen18: @FoxBusiness @RealBenCarson absolutely correct Ben '\n"", ""Tommygreen18: @FoxBusiness @RealBenCarson absolutely correct Ben '\n"", ""Tommygreen18: @FoxBusiness @RealBenCarson absolutely correct Ben '\n""]"
carson,Hillsborough,1729,N,"['LinzieJanis: Carson says ""I\'m not just here to add beauty to the stage"" abc News #GOPDebate @ Saint Anselm https://t.co/ojXf6SO0ET\n', 'JHall7news: Dr Ben Carson has secret service protection as he campaigns in Manchester at a diner. @ Airport https://t.co/rhFKlayi7C\n', 'Tommygreen18: @RealBenCarson Me too ""\n', 'Tommygreen18: @RealBenCarson Me too ""\n', 'stevenhaderer: I asked Dr. Ben Carson how he fits in the current #GOP. ""I don\'t fit https://t.co/tQ6x2a9yFT\n', 'OHKGrange: Grange Youth, Adam Hinshaw and Presidential Candidate, Dr. Ben Carson at National Grange https://t.co/0oucsFmYcy\n', 'LinzieJanis: Carson says ""I\'m not just here to add beauty to the stage"" abc News #GOPDebate @ Saint Anselm https://t.co/ojXf6SO0ET\n', 'JHall7news: Dr Ben Carson has secret service protection as he campaigns in Manchester at a diner. @ Airport https://t.co/rhFKlayi7C\n', 'Tommygreen18: @RealBenCarson Me too ""\n', 'Tommygreen18: @RealBenCarson Me too ""\n', 'stevenhaderer: I asked Dr. Ben Carson how he fits in the current #GOP. ""I don\'t fit https://t.co/tQ6x2a9yFT\n', 'OHKGrange: Grange Youth, Adam Hinshaw and Presidential Candidate, Dr. Ben Carson at National Grange https://t.co/0oucsFmYcy\n', 'Tommygreen18: @RealBenCarson what time ?\n', 'Tommygreen18: @RealBenCarson what time ?\n', 'Tommygreen18: @RealBenCarson what time ?\n', 'Tommygreen18: @RealBenCarson what time ?\n']"
carson,Merrimack,753,N,"['nhbizreport: #nhpolitics #Trump strong #Rubio surging #Cruz Carson fail  #Fiorina hope #Bush no hope #Kasich last stand #Christie back to NJ #Carson fade\n', 'nhbizreport: #nhpolitics #Trump strong #Rubio surging #Cruz Carson fail  #Fiorina hope #Bush no hope #Kasich last stand #Christie back to NJ #Carson fade\n', 'nhbizreport: #nhpolitics #Trump strong #Rubio surging #Cruz Carson fail  #Fiorina hope #Bush no hope #Kasich last stand #Christie back to NJ #Carson fade\n', 'nhbizreport: #nhpolitics #Trump strong #Rubio surging #Cruz Carson fail  #Fiorina hope #Bush no hope #Kasich last stand #Christie back to NJ #Carson fade\n', 'nhbizreport: #nhpolitics #Trump strong #Rubio surging #Cruz Carson fail  #Fiorina hope #Bush no hope #Kasich last stand #Christie back to NJ #Carson fade\n', 'nhbizreport: #nhpolitics #Trump strong #Rubio surging #Cruz Carson fail  #Fiorina hope #Bush no hope #Kasich last stand #Christie back to NJ #Carson fade\n']"
carson,Rockingham,1447,N,
carson,Strafford,528,N,
carson,Sullivan,239,N,
christie,Belknap,1002,N,
christie,Carroll,883,N,
christie,Cheshire,754,N,"['MitchEPerry: @ChrisChristie speaking in town hall in Keane https://t.co/uxWoDHFlaA\n', ""MitchEPerry: @ChrisChristie just said that by 2020, 22 of New Jersey's electricity will come from solar power #FlaPol\n""]"
christie,Coos,355,N,
christie,Grafton,1068,N,"[""ngaffney: Chris Christie at Salt Hill, my local pub. Maybe I'm living under a NH rock, but this is the https://t.co/W1wwwXlBrX\n""]"
christie,Hillsborough,7155,N,"['TheOtherKeppler: Chris Christie, unfiltered and #nofilter @ Students for Christie New Hampshire https://t.co/wTqVLtfwGD\n', 'iblamethedingos: At a Chris Christie event. @ Bedford, New Hampshire https://t.co/3lm3vUQtCT\n', 'jwolffnj: BEDFORD, N.H. -- Gov. Chris Christie, R-N.J., ""The longest week in politics [between Iowa and https://t.co/JTukv92jZg\n', 'iblamethedingos: At a Chris Christie event. @ Bedford, New Hampshire https://t.co/3lm3vUQtCT\n', 'jwolffnj: BEDFORD, N.H. -- Gov. Chris Christie, R-N.J., ""The longest week in politics [between Iowa and https://t.co/JTukv92jZg\n', 'ErikvanBruggen: Chris Christie was toe toe de meest redelijke kandidaat van allemaal #vs2016 #BKBacademie https://t.co/GskeJJxj3A\n', ""thecourier: Cake Boss says TV show airs in 220 countries before intro'ing @ChrisChristie (There are only 196 countries) #FITN https://t.co/1IQnOJTLyc\n"", 'MarkJRemillard: On the eve on the #newhampshire primary, NJ Gov. Chris Christie holds one last town hall. @ St. https://t.co/s3sOQpoWyu\n', 'ErikvanBruggen: Chris Christie was toe toe de meest redelijke kandidaat van allemaal #vs2016 #BKBacademie https://t.co/GskeJJxj3A\n', ""thecourier: Cake Boss says TV show airs in 220 countries before intro'ing @ChrisChristie (There are only 196 countries) #FITN https://t.co/1IQnOJTLyc\n"", 'MarkJRemillard: On the eve on the #newhampshire primary, NJ Gov. Chris Christie holds one last town hall. @ St. https://t.co/s3sOQpoWyu\n', 'stevenhaderer: New Jersey Governor Chris Christie at a town hall at St. George https://t.co/fqCvQZM5Lm\n', 'stevenhaderer: New Jersey Governor Chris Christie stayed true to his theme tonight https://t.co/bfunWyMG0Z\n', 'stevenhaderer: New Jersey Governor Chris Christie at a town hall at St. George https://t.co/fqCvQZM5Lm\n', 'stevenhaderer: New Jersey Governor Chris Christie stayed true to his theme tonight https://t.co/bfunWyMG0Z\n', 'mikeassad: This is it, the final 90 minutes of @ChrisChristies political career have arrived. #nhprimary\n', 'mikeassad: If @ChrisChristie wanted New Hampshire to like him, he shouldnt have spent so much time there. #NHPrimary\n', 'mikeassad: This is it, the final 90 minutes of @ChrisChristies political career have arrived. #nhprimary\n', 'mikeassad: If @ChrisChristie wanted New Hampshire to like him, he shouldnt have spent so much time there. #NHPrimary\n']"
christie,Merrimack,2376,N,
christie,Rockingham,5783,N,"['gardeniagirl: Ready to vote for Chris Christie next Tuesday. Smart, strong, not crazy.\n', 'gardeniagirl: Ready to vote for #ChrisChristie next Tuesday. Smart,strong and not crazy.\n', 'gardeniagirl: @JohnKingCNN Yep, filtered  out inexperienced, fake, weak, humorless and crazy. Voting for #ChrisChristie.\n', ""gardeniagirl: @ChrisChristie Ready for your strength, your experience, your humor.  Sock it to'em but be nice. Knew you were the one after Portsmouth.\n"", ""gardeniagirl: @ChrisChristie Ready for your strength, your experience, your humor.  Sock it to'em but be nice. Knew you were the one after Portsmouth.\n"", 'demoncelery: Chris Christie got rul testy with me when I asked him a fairly innocuous question about https://t.co/9GKSD862tr\n', 'demoncelery: Chris Christie got rul testy with me when I asked him a fairly innocuous question about https://t.co/9GKSD862tr\n', 'mebraden: Just scored some @ChrisChristie special blend coffee. @ Coffee Coffee https://t.co/2DbPTg8LUh\n', 'mebraden: Just scored some @ChrisChristie special blend coffee. @ Coffee Coffee https://t.co/2DbPTg8LUh\n', ""gardeniagirl: @ChrisChristie After his Portsmouth Town Hall I jusr couldn't vote for any of the others.\n"", ""gardeniagirl: @ChrisChristie After his Portsmouth Town Hall I jusr couldn't vote for any of the others.\n""]"
christie,Strafford,1225,N,
christie,Sullivan,488,N,"['kmerrill99: @ChrisChristie claws r out #GOPDebate\n', ""kmerrill99: @ChrisChristie and @marcorubio lmao!! #gopdebate Christie's going for it! I'm not listening but he's trying #trump2016\n"", 'kmerrill99: @ChrisChristie is going after @marcorubio tonight getting ##annoying almost #bullying #GOPDebate\n', 'kmerrill99: @ChrisChristie claws r out #GOPDebate\n', ""kmerrill99: @ChrisChristie and @marcorubio lmao!! #gopdebate Christie's going for it! I'm not listening but he's trying #trump2016\n"", 'kmerrill99: @ChrisChristie is going after @marcorubio tonight getting ##annoying almost #bullying #GOPDebate\n']"
clinton,Belknap,3495,Y,"['viewfromthecave: Packed room at event to see @billclinton stump for Hillary in Laconia. #NHprimary\n', 'viewfromthecave: Packed room at event to see @billclinton stump for Hillary in Laconia. #NHprimary\n']"
clinton,Carroll,3230,Y,"[""PriscillaPro: @HillaryClinton I don't really care who wins, but you'll probable win.\n"", ""PriscillaPro: @HillaryClinton I don't really care who wins, but you'll probable win.\n"", ""PriscillaPro: @HillaryClinton I don't really care who wins, but you'll probable win.\n"", ""PriscillaPro: @HillaryClinton I don't really care who wins, but you'll probable win.\n""]"
clinton,Cheshire,5132,Y,"['georgeson1992: Up for the week and working as hard as I can until Tuesdays primary. Go Hillary! (@ Keene, NH in Keene, NH) https://t.co/szUVfyPx0B\n', 'georgeson1992: Up for the week and working as hard as I can until Tuesdays primary. Go Hillary! (@ Keene, NH in Keene, NH) https://t.co/szUVfyPx0B\n', 'SuchAMama: We love Hillary !!!!! @ Keene, New Hampshire https://t.co/rptWQWqMyH\n', 'thecourier: As Bernie Sanders rallies in Rindge, @HillaryClinton pamphlets in parking lot slam his ""false"" statements #FITN https://t.co/ip5SQ6tPrY\n', 'thecourier: As Bernie Sanders rallies in Rindge, @HillaryClinton pamphlets in parking lot slam his ""false"" statements #FITN https://t.co/ip5SQ6tPrY\n', 'thecourier: As Bernie Sanders rallies in Rindge, @HillaryClinton pamphlets in parking lot slam his ""false"" statements #FITN https://t.co/ip5SQ6tPrY\n', 'SuchAMama: We love Hillary !!!!! @ Keene, New Hampshire https://t.co/rptWQWqMyH\n', 'thecourier: As Bernie Sanders rallies in Rindge, @HillaryClinton pamphlets in parking lot slam his ""false"" statements #FITN https://t.co/ip5SQ6tPrY\n', 'thecourier: As Bernie Sanders rallies in Rindge, @HillaryClinton pamphlets in parking lot slam his ""false"" statements #FITN https://t.co/ip5SQ6tPrY\n', 'thecourier: As Bernie Sanders rallies in Rindge, @HillaryClinton pamphlets in parking lot slam his ""false"" statements #FITN https://t.co/ip5SQ6tPrY\n', 'SuchAMama: Phone banking for hillaryclinton !! #hillaryfornh #hillyes #FITN #imwithher @ Keene, New Hampshire https://t.co/bKBp0BuqB1\n', 'Demers_Jim: State Senator Molly Kelly with President Bill Clinton campaigning in Keene, NH this morning for Hillary. https://t.co/URl1zduqJl\n', 'SuchAMama: Phone banking for hillaryclinton !! #hillaryfornh #hillyes #FITN #imwithher @ Keene, New Hampshire https://t.co/bKBp0BuqB1\n', 'Demers_Jim: State Senator Molly Kelly with President Bill Clinton campaigning in Keene, NH this morning for Hillary. https://t.co/URl1zduqJl\n', 'JuanPenalosa: #NewHampshire Primary Eve #603forhrc #hillaryclinton @ Hillary for New Hampshire Keene Office https://t.co/2qaLzcjQUH\n', 'JuanPenalosa: #NewHampshire Primary Eve #603forhrc #hillaryclinton @ Hillary for New Hampshire Keene Office https://t.co/2qaLzcjQUH\n', 'JuanPenalosa: #NewHampshire Primary Eve #603forhrc #hillaryclinton @ Hillary for New Hampshire Keene Office https://t.co/2qaLzcjQUH\n', 'JuanPenalosa: #NewHampshire Primary Eve #603forhrc #hillaryclinton @ Hillary for New Hampshire Keene Office https://t.co/2qaLzcjQUH\n']"
clinton,Coos,2013,Y,
clinton,Grafton,6918,Y,"['spmaloney: Back in NH. Kicking off another day of door knocking. #imwithher #hillaryclinton #hillaryfornh @ https://t.co/1A8d0EmXvd\n', 'spmaloney: Back in NH. Kicking off another day of door knocking. #imwithher #hillaryclinton #hillaryfornh @ https://t.co/1A8d0EmXvd\n']"
